stage,channel_index_0based,wavelength_nm_approx,mean_pseudo_absorbance,sd_pseudo_absorbance,n
0,192,1612.0689655172414,0.27184760570526123,0.04539183899760246,2242
0,193,1615.5172413793102,0.27104631066322327,0.045138515532016754,2242
0,194,1618.9655172413793,0.27067843079566956,0.04499625042080879,2242
0,195,1622.4137931034484,0.27033042907714844,0.04475666955113411,2242
0,196,1625.8620689655172,0.270532488822937,0.04462093859910965,2242
0,197,1629.310344827586,0.2707875072956085,0.04450095817446709,2242
0,198,1632.7586206896551,0.2714619040489197,0.04436759278178215,2242
0,199,1636.2068965517242,0.27228549122810364,0.04435112327337265,2242
0,200,1639.655172413793,0.2738022804260254,0.04436328262090683,2242
0,201,1643.1034482758619,0.27597668766975403,0.04449544474482536,2242
0,202,1646.5517241379312,0.2792966961860657,0.044702544808387756,2242
0,203,1650.0,0.28388381004333496,0.044956617057323456,2242
1,0,950.0,0.2886117100715637,0.06309617310762405,2242
1,1,953.448275862069,0.2890647351741791,0.06324249505996704,2242
1,2,956.8965517241379,0.2892288267612457,0.06327277421951294,2242
1,3,960.3448275862069,0.28930166363716125,0.06334857642650604,2242
1,4,963.7931034482758,0.28884637355804443,0.06328625231981277,2242
1,5,967.2413793103449,0.28814294934272766,0.06317062675952911,2242
1,6,970.6896551724138,0.28706037998199463,0.06302881985902786,2242
1,7,974.1379310344828,0.28583982586860657,0.06288226693868637,2242
1,8,977.5862068965517,0.2843446135520935,0.06267762184143066,2242
1,9,981.0344827586207,0.28272467851638794,0.06246279180049896,2242
1,10,984.4827586206897,0.2809203267097473,0.062184326350688934,2242
1,11,987.9310344827586,0.27908986806869507,0.06191760674118996,2242
1,12,991.3793103448276,0.2771611511707306,0.06165482848882675,2242
1,13,994.8275862068965,0.2751605212688446,0.061350710690021515,2242
1,14,998.2758620689655,0.27310284972190857,0.061032265424728394,2242
1,15,1001.7241379310344,0.27109163999557495,0.06073789671063423,2242
1,16,1005.1724137931035,0.2690756916999817,0.060464296489953995,2242
1,17,1008.6206896551724,0.26715266704559326,0.06021624431014061,2242
1,18,1012.0689655172414,0.26516756415367126,0.059942033141851425,2242
1,19,1015.5172413793103,0.2633330225944519,0.05970553681254387,2242
1,20,1018.9655172413793,0.26168376207351685,0.059520501643419266,2242
1,21,1022.4137931034483,0.2600059509277344,0.05933332443237305,2242
1,22,1025.8620689655172,0.25842732191085815,0.05913228169083595,2242
1,23,1029.3103448275863,0.2568895220756531,0.058946117758750916,2242
1,24,1032.7586206896551,0.2554742395877838,0.058799173682928085,2242
1,25,1036.2068965517242,0.25416886806488037,0.05867227166891098,2242
1,26,1039.655172413793,0.25306186079978943,0.058618079870939255,2242
1,27,1043.103448275862,0.25191688537597656,0.0585332065820694,2242
1,28,1046.551724137931,0.25088736414909363,0.058484118431806564,2242
1,29,1050.0,0.2499263882637024,0.058419473469257355,2242
1,30,1053.4482758620688,0.24911509454250336,0.05841374397277832,2242
1,31,1056.896551724138,0.24837298691272736,0.05839125066995621,2242
1,32,1060.344827586207,0.24776394665241241,0.05840687453746796,2242
1,33,1063.7931034482758,0.24723784625530243,0.05842028930783272,2242
1,34,1067.2413793103449,0.2469276636838913,0.05848008394241333,2242
1,35,1070.6896551724137,0.2466619908809662,0.05854876711964607,2242
1,36,1074.1379310344828,0.24658973515033722,0.05866718292236328,2242
